title,character_name,actor_name,sympathy_coding,arc_presence,arc_direction,confidence_arc,reasoning_arc
The Devil Wears Prada,Cassidy,Suzanne Dengel,neutral,flat,none,low,Cassidy is a minor character with limited development and does not significantly impact the main narrative.
Michael,Michael Jackson,Jaafar Jackson,protagonist,significant,positive,medium,"Jaafar Jackson's portrayal of Michael Jackson is central to the narrative, depicting his journey and growth as an artist, which invites audience sympathy."
Michael,Joseph Jackson,Colman Domingo,neutral,flat,none,low,Joseph Jackson is a supporting character with limited development and a clear role in the story.
Michael,Katherine Jackson,Nia Long,neutral,flat,none,low,Katherine Jackson is a supporting character with limited development and a functional role in the narrative.
Michael,Young Michael Jackson,Juliano Krue Valdi,neutral,flat,none,low,Young Michael Jackson is a minor character in the film 'Michael' with limited development and a functional role.
Michael,Bill Bray,KeiLyn Durrel Jones,neutral,flat,none,low,Bill Bray is a minor character with limited development and does not significantly impact the main narrative.
Michael,John Branca,Miles Teller,protagonist,significant,positive,medium,John Branca is portrayed as a central character who undergoes meaningful growth and earns the audience's support throughout the film.
Michael,Quincy Jones,Kendrick Sampson,neutral,flat,none,low,Quincy Jones is a minor character with limited development and does not significantly impact the main narrative.
Michael,Jackie Jackson,Joseph David-Jones,neutral,flat,none,low,Jackie Jackson is a minor character in the film 'Michael' with limited development and a functional role.
Michael,Jermaine Jackson,Jamal Henderson,neutral,flat,none,low,Jermaine Jackson is a minor character with limited development and does not significantly impact the story.
Michael,Tito Jackson,Rhyan Hill,neutral,flat,none,low,Tito Jackson is a minor character in the film 'Michael' with limited development and a functional role.
Michael,Marlon Jackson,Trey Horton,neutral,flat,none,low,Marlon Jackson is a minor character with limited development and does not significantly impact the story.
Michael,LaToya Jackson,Jessica Sula,neutral,flat,none,low,LaToya Jackson is a minor character in the film 'Michael' with limited development and a functional role.
Michael,Berry Gordy,Larenz Tate,neutral,flat,none,low,Berry Gordy is a minor character in 'Michael' with limited development and a functional role.
Michael,Suzanne de Passe,Laura Harrier,neutral,flat,none,low,Suzanne de Passe is a minor character with limited development and a functional role in the story.
Michael,Walter Yetnikoff,Mike Myers,neutral,flat,none,low,Walter Yetnikoff is a minor character in 'Michael' with limited development and a functional role in the plot.
Michael,Young Jackie Jackson,Nathaniel Logan McIntyre,neutral,flat,none,low,Young Jackie Jackson is a minor character with limited development and a functional role in the story.
Michael,Young Tito Jackson,Judah Edwards,neutral,flat,none,low,Young Tito Jackson is a minor character with limited development and serves primarily to support the narrative.
Michael,Young Jermaine Jackson,Jayden Harville,neutral,flat,none,low,Young Jermaine Jackson is a minor character with limited development and a functional role in the story.
Michael,Young Marlon Jackson,Jaylen Hunter,neutral,flat,none,low,Young Marlon Jackson is a minor character with limited development and a functional role in the story.
Michael,Don King,Deon Cole,neutral,flat,none,low,Don King is a minor character in the film 'Michael' with limited development and a functional role.
The Devil Wears Prada 2,Miranda Priestly,Meryl Streep,antagonist,flat,none,high,Miranda Priestly is portrayed as a powerful and demanding figure who creates conflict for the protagonist without undergoing significant change.
The Devil Wears Prada 2,Andy Sachs,Anne Hathaway,protagonist,significant,positive,high,Andy Sachs is the main character who undergoes a significant transformation in her values and priorities throughout the story.
The Devil Wears Prada 2,Emily Charlton,Emily Blunt,protagonist,significant,positive,medium,Emily Charlton is a central character who undergoes meaningful growth and is portrayed in a sympathetic light.
The Devil Wears Prada 2,Nigel Kipling,Stanley Tucci,neutral,flat,none,low,Nigel Kipling is a minor character in 'The Devil Wears Prada 2' with limited development and a functional role.
The Devil Wears Prada 2,Benji Barnes,Justin Theroux,neutral,flat,none,low,Benji Barnes is a minor character with limited development and does not significantly impact the main narrative.
The Devil Wears Prada 2,Stuart,Kenneth Branagh,neutral,flat,none,low,Stuart is a minor character in 'The Devil Wears Prada 2' with limited development and impact on the main narrative.
The Devil Wears Prada 2,Amari,Simone Ashley,neutral,flat,none,low,Amari is a minor character with limited development and unclear impact on the main narrative.
The Devil Wears Prada 2,Sasha Barnes,Lucy Liu,neutral,flat,none,low,Sasha Barnes is a minor character with limited development and a clear role in the plot.
The Devil Wears Prada 2,Irv Ravitz,Tibor Feldman,neutral,flat,none,low,Irv Ravitz is a minor character with limited development and a functional role in the plot.
The Devil Wears Prada 2,Jay Ravitz,B.J. Novak,neutral,flat,none,low,Jay Ravitz is a minor character with limited development and does not significantly impact the main narrative.
The Devil Wears Prada 2,Peter,Patrick Brammall,neutral,flat,none,low,Peter is a minor character in 'The Devil Wears Prada 2' with limited development and a functional role in the plot.
The Devil Wears Prada 2,Lily,Tracie Thoms,neutral,flat,none,low,Lily is a minor character with limited development and does not significantly impact the main narrative.
The Devil Wears Prada 2,Charlie,Caleb Hearon,neutral,flat,none,low,Charlie is a minor character with limited development and a functional role in the story.
The Devil Wears Prada 2,Jin,Helen J. Shen,neutral,flat,none,low,Jin is a minor character in 'The Devil Wears Prada 2' with limited development and unclear audience relationship.
The Devil Wears Prada 2,Talia,Rachel Bloom,neutral,flat,none,low,Talia is a minor character in 'The Devil Wears Prada 2' with limited development and unclear audience relationship.
The Devil Wears Prada 2,Mack,Larry Mitchell,neutral,flat,none,low,Mack is a minor character with limited development and does not significantly impact the main narrative.
The Devil Wears Prada 2,Paul,George C. Wolfe,neutral,flat,none,low,Paul is a minor character with limited development and does not significantly impact the main narrative.
The Devil Wears Prada 2,Dirk,Daniel Liu,neutral,flat,none,low,Dirk is a minor character in 'The Devil Wears Prada 2' with limited development and a functional role in the plot.
The Devil Wears Prada 2,Ilana,Pauline Chalamet,neutral,flat,none,low,Ilana is a minor character with limited development and unclear impact on the main narrative.
The Devil Wears Prada 2,Marta,Bria Condon,neutral,flat,none,low,Marta is a minor character with limited development and a functional role in the plot.
They Will Kill You,Asia Reaves,Zazie Beetz,neutral,flat,none,low,"Asia Reaves is a minor character with limited information available, making it difficult to assess her role and development in the story."
They Will Kill You,Maria Reaves,Myha'la,neutral,flat,none,low,"Maria Reaves is a minor character with limited information available, making it difficult to assess her role and development in the story."
They Will Kill You,Lily Woodhouse,Patricia Arquette,protagonist,significant,positive,medium,Lily Woodhouse is portrayed as a central character who undergoes meaningful growth throughout the story.
They Will Kill You,Ray Woodhouse,Paterson Joseph,neutral,flat,none,low,Ray Woodhouse is a minor character with limited development and unclear audience relationship.
They Will Kill You,Sharon,Heather Graham,neutral,flat,none,low,Sharon is a minor character in 'They Will Kill You' with limited development and unclear audience relationship.
They Will Kill You,Kevin,Tom Felton,neutral,flat,none,low,"Kevin is a minor character with limited information available, making it difficult to assess his role and development in the story."
They Will Kill You,Bob,Willie Ludik,neutral,flat,none,low,Bob appears to be a minor character with limited development and unclear impact on the story.
They Will Kill You,Tall Steve,David Viviers,neutral,flat,none,low,Tall Steve appears to be a minor character with limited development and a functional role in the plot.
They Will Kill You,Short Steve,Gabe Gabriel,neutral,flat,none,low,Short Steve appears to be a minor character with limited development and a functional role in the plot.
They Will Kill You,Sophia,Viktoria Korotkova,neutral,flat,none,low,"Sophia is a minor character with limited information available, making it difficult to assess her role and development in the story."
They Will Kill You,Pig's Head (voice),James Remar,neutral,flat,none,low,The character is a minor role with limited development and does not evoke strong feelings from the audience.
They Will Kill You,Anne Sheapman,Dorothy Ann Gould,neutral,flat,none,low,"Anne Sheapman is a minor character with limited information available, making it difficult to assess her role and development in the story."
They Will Kill You,Dr. Sheapman,Mike Huff,neutral,flat,none,low,"Dr. Sheapman is a minor character with limited information available, making it difficult to assess his role and development in the story."
They Will Kill You,Ritchie,Darron Meyer,neutral,flat,none,low,Ritchie appears to be a minor character with limited development and unclear audience relationship.
They Will Kill You,Young Maria,Orefile Moloi,neutral,flat,none,low,Young Maria appears to be a minor character with limited development and a functional role in the story.
They Will Kill You,Teardrop Man,Brandon Auret,antagonist,flat,none,low,Teardrop Man appears to serve as an opposing force in the narrative without significant character development.
They Will Kill You,The P.I.,Angus Sampson,neutral,flat,none,low,"The character 'The P.I.' has minimal information available, suggesting a functional role without significant development."
They Will Kill You,The Manager,Chris van Rensburg,neutral,flat,none,low,"The character 'The Manager' has minimal information available, suggesting a lack of significant development or audience connection."
They Will Kill You,Damian,Neels Clasen Jnr,neutral,flat,none,low,"Damian is a minor character with limited information available, making it difficult to assess his role and development in the story."
They Will Kill You,Angry Inmate,Megan Alexander,neutral,flat,none,low,The character 'Angry Inmate' appears to be a minor character with limited development and a functional role in the plot.
Hoppers,Mabel (voice),Piper Curda,neutral,flat,none,low,"Mabel is a minor character with limited information available, suggesting she does not have a significant impact on the story."
Hoppers,King George (voice),Bobby Moynihan,neutral,flat,none,low,"King George is a minor character with limited information available, suggesting he does not undergo significant development."
Hoppers,Mayor Jerry Generazzo (voice),Jon Hamm,neutral,flat,none,low,Mayor Jerry Generazzo appears to be a minor character with limited development and a functional role in the story.
Hoppers,Dr. Sam (voice),Kathy Najimy,neutral,flat,none,low,"Dr. Sam is a voice character with minimal information available, suggesting a functional role without significant development."
Hoppers,Insect King (voice),Dave Franco,neutral,flat,none,low,The Insect King is a minor character with limited development and a functional role in the story.
Hoppers,Loaf (voice),Eduardo Franco,neutral,flat,none,low,Loaf appears to be a minor character with limited development and a functional role in the story.
Hoppers,Nisha (voice),Aparna Nancherla,neutral,flat,none,low,Nisha appears to be a minor character with limited development and a functional role in the story.
Hoppers,Tom Lizard (voice),Tom Law,neutral,flat,none,low,"Tom Lizard is a minor character with limited information available, suggesting minimal development or impact on the story."
Hoppers,Conner (voice),Sam Richardson,neutral,flat,none,low,"Conner is a minor character with limited information available, making it difficult to assess his role and development in the story."
Hoppers,Ellen (voice),Melissa Villaseñor,neutral,flat,none,low,"Ellen is a minor character with limited information available, suggesting she serves a functional role without significant development."
Hoppers,Bird King (voice),Isiah Whitlock Jr.,neutral,flat,none,low,"Bird King is a minor character with limited information available, making it difficult to assess his role and development in the story."
Hoppers,Amphibian King (voice),Steve Purcell,neutral,flat,none,low,The Amphibian King appears to be a minor character with limited development and a neutral role in the story.
Hoppers,Fish Queen (voice),Ego Nwodim,neutral,flat,none,low,"The character Fish Queen has minimal information available, suggesting a lack of significant development or audience connection."
Hoppers,Reptile Queens (voice),Nichole Sakura,neutral,flat,none,low,The character is likely a minor role with limited development and no clear relationship with the audience.
Hoppers,Insect Queen (voice),Meryl Streep,neutral,flat,none,low,"The Insect Queen is a minor character with limited information available, making it difficult to assess her role and development in the story."
Hoppers,Grandma Tanaka (voice),Karen Huie,neutral,flat,none,low,Grandma Tanaka appears to be a minor character with limited development and a functional role in the story.
Hoppers,Young Mabel (voice),Lila Liu,neutral,flat,none,low,Young Mabel appears to be a minor character with limited development and a neutral role in the story.
Hoppers,Insect Prince (voice),Eman Abdul-Razzak,neutral,flat,none,low,"The character Insect Prince has minimal information available, suggesting a lack of significant development or audience connection."
Hoppers,Diane (voice),Vanessa Bayer,neutral,flat,none,low,Diane appears to be a minor character with limited development and a neutral role in the story.
Hoppers,Ancient Beavertonian (voice),Joe Spano,neutral,flat,none,low,The character appears to be a minor voice role with limited development and impact on the overall story.
Avatar: Fire and Ash,Jake,Sam Worthington,protagonist,significant,positive,medium,"Jake is a central character in the 'Avatar' series, representing growth and change as he navigates complex relationships and conflicts."
Avatar: Fire and Ash,Neytiri,Zoe Saldaña,protagonist,significant,positive,medium,"Neytiri is a central character in the 'Avatar' series, representing strong values and undergoing meaningful development throughout the story."
Avatar: Fire and Ash,Kiri,Sigourney Weaver,protagonist,significant,positive,medium,"Kiri is portrayed as a central character with a strong moral compass, undergoing significant growth throughout the story."
Avatar: Fire and Ash,Quaritch,Stephen Lang,antagonist,flat,none,medium,"Quaritch serves as a primary antagonist in the 'Avatar' series, opposing the protagonists without significant character development."
Avatar: Fire and Ash,Varang,Oona Chaplin,neutral,flat,none,low,Varang is a minor character in 'Avatar: Fire and Ash' with limited information available about her development or role.
Avatar: Fire and Ash,Spider,Jack Champion,protagonist,significant,positive,medium,Spider is a central character in 'Avatar: Fire and Ash' who undergoes meaningful growth and is positioned as a character the audience roots for.
Avatar: Fire and Ash,Ronal,Kate Winslet,neutral,flat,none,low,Ronal is a minor character in 'Avatar: Fire and Ash' with limited information available about her development or role.
Avatar: Fire and Ash,Tonowari,Cliff Curtis,neutral,flat,none,low,Tonowari is a minor character in 'Avatar: Fire and Ash' with limited information available about his development or role.
Avatar: Fire and Ash,Norm,Joel David Moore,neutral,flat,none,low,Norm is a minor character in 'Avatar: Fire and Ash' with limited development and a functional role in the plot.
Avatar: Fire and Ash,Mo'at,CCH Pounder,neutral,flat,none,low,Mo'at is a supporting character with limited development and a clear role in the story.
Avatar: Fire and Ash,General Ardmore,Edie Falco,antagonist,flat,none,low,General Ardmore appears to serve as an opposing force in the narrative without significant character development.
Avatar: Fire and Ash,Scoresby,Brendan Cowell,neutral,flat,none,low,Scoresby appears to be a minor character with limited development and a clear role in the plot.
Avatar: Fire and Ash,Dr. Garvin,Jemaine Clement,neutral,flat,none,low,Dr. Garvin appears to be a minor character with limited development and a neutral role in the story.
Avatar: Fire and Ash,Selfridge,Giovanni Ribisi,neutral,flat,none,low,Selfridge is a minor character in 'Avatar: Fire and Ash' with limited development and unclear audience relationship.
Avatar: Fire and Ash,Peylak,David Thewlis,neutral,flat,none,low,"Peylak is a minor character with limited information available, making it difficult to assess his role and development in the story."
Avatar: Fire and Ash,Lo'ak,Britain Dalton,protagonist,significant,positive,medium,Lo'ak is a central character in 'Avatar: Fire and Ash' who undergoes meaningful growth and development throughout the story.
Avatar: Fire and Ash,Tuk,Trinity Jo-Li Bliss,neutral,flat,none,low,"Tuk is a minor character with limited information available, making it difficult to assess their development or audience connection."
Avatar: Fire and Ash,Neteyam,Jamie Flatters,protagonist,significant,positive,medium,Neteyam is portrayed as a central character who undergoes meaningful growth and development throughout the story.
Avatar: Fire and Ash,Tsireya,Bailey Bass,neutral,flat,none,low,Tsireya is a minor character in 'Avatar: Fire and Ash' with limited information available about her development or role.
Avatar: Fire and Ash,Aonung,Filip Geljo,neutral,flat,none,low,Aonung is a minor character in 'Avatar: Fire and Ash' with limited development and unclear audience relationship.
Avatar Aang: The Last Airbender,Aang (voice),Eric Nam,protagonist,significant,positive,high,"Aang is the main character of 'Avatar: The Last Airbender', and he undergoes significant growth as he learns to embrace his responsibilities and values."
Avatar Aang: The Last Airbender,Tagah (voice),Dave Bautista,neutral,flat,none,low,"Tagah is a minor character with limited information available, making it difficult to assess his role and development."
Avatar Aang: The Last Airbender,Katara (voice),Jessica Matten,protagonist,significant,positive,medium,Katara is a central character who undergoes meaningful growth in her abilities and relationships throughout the story.
Avatar Aang: The Last Airbender,Sokka (voice),Román Zaragoza,protagonist,significant,positive,medium,Sokka is a main character who undergoes significant growth in his beliefs and relationships throughout the story.
Avatar Aang: The Last Airbender,Zuko (voice),Steven Yeun,redeemed,significant,positive,medium,"Zuko starts as an antagonist but undergoes a significant transformation, ultimately earning the audience's sympathy by aligning with the protagonists."
Avatar Aang: The Last Airbender,Toph (voice),Dionne Quan,protagonist,significant,positive,high,"Toph is a main character who undergoes significant growth, learning to trust others and embracing her identity as a powerful earthbender."
Avatar Aang: The Last Airbender,Appa / Momo (voice),Dee Bradley Baker,protagonist,flat,none,high,"Appa and Momo are beloved companions of Aang, providing support and comic relief without undergoing significant character development."
Avatar Aang: The Last Airbender,Avatar Sonam (voice),Freida Pinto,neutral,flat,none,low,"Avatar Sonam is a minor character with limited information available, suggesting minimal impact on the story."
Avatar Aang: The Last Airbender,Avatar Xian (voice),Ke Huy Quan,neutral,flat,none,low,"Avatar Xian is a minor character with limited information available, making it difficult to assess their role and development."
Avatar Aang: The Last Airbender,Gorillavark (voice),Taika Waititi,neutral,flat,none,low,Gorillavark is a minor character with limited development and a functional role in the story.
Avatar Aang: The Last Airbender,Kallik (voice),Geraldine Viswanathan,neutral,flat,none,low,Kallik is a minor character with limited development and a functional role in the story.
Avatar Aang: The Last Airbender,Jie (voice),Peta Sergeant,neutral,flat,none,low,Jie is a minor character with limited development and does not significantly impact the main narrative.
Avatar Aang: The Last Airbender,Yuddah (voice),Jonathan Ohye,neutral,flat,none,low,"Yuddah is a minor character with limited information available, suggesting minimal impact on the story."
