actor_name,actor_tmdb_id,actor_ethnicity,confidence,reasoning
Emma Kenney,1252801,White,high,"Emma Kenney is a well-known actress, and her ethnicity is publicly documented as White."
Christian Isaiah,2563541,Black,high,"Christian Isaiah is a well-known actor recognized for his roles in various television series, and his ethnicity is publicly documented."
Cameron Monaghan,37089,White,high,Cameron Monaghan is a well-known actor and his ethnicity is publicly documented as White.
Noel Fisher,80352,White,high,"Noel Fisher is a well-known actor of Russian and Irish descent, which is publicly documented."
Kate Miner,214695,White,high,Kate Miner is a well-known actress and her ethnicity is publicly documented as White.
Bryan Cranston,17419,White,high,"Bryan Cranston is a well-known actor of predominantly European descent, which is publicly documented."
Aaron Paul,84497,White,high,"Aaron Paul is a well-known actor of Caucasian descent, and this information is publicly documented."
Anna Gunn,134531,White,high,"Anna Gunn is a well-known actress, and her ethnicity is publicly documented as White."
RJ Mitte,209674,White,high,"RJ Mitte is known to be of Caucasian descent, and this information is well-documented in public sources."
Dean Norris,14329,White,high,"Dean Norris is a well-known actor of Caucasian descent, and this information is publicly documented."
Betsy Brandt,1217934,White,high,"Betsy Brandt is a well-known actress, and her ethnicity is publicly documented as White."
Bob Odenkirk,59410,White,high,Bob Odenkirk is a well-known actor and his ethnicity is publicly documented as White.
Jonathan Banks,783,White,high,"Jonathan Banks is a well-known actor of European descent, and his ethnicity is publicly documented."
Ed O'Neill,18977,White,high,"Ed O'Neill is a well-known actor of Irish descent, which is publicly documented."
Sofía Vergara,63522,Hispanic/Latino,high,"Sofía Vergara is a well-known Colombian actress, and her Hispanic/Latino ethnicity is publicly documented."
Julie Bowen,31171,White,high,"Julie Bowen is a well-known actress, and her ethnicity as White is publicly documented."
Ty Burrell,15232,White,high,"Ty Burrell is a well-known actor, and his ethnicity is publicly documented as White."
Jesse Tyler Ferguson,204815,White,high,"Jesse Tyler Ferguson is a well-known actor, and his ethnicity as White is publicly documented."
Eric Stonestreet,156962,White,high,"Eric Stonestreet is a well-known actor, and his ethnicity is publicly documented as White."
Sarah Hyland,91351,White,high,"Sarah Hyland is a well-known actress of predominantly European descent, which is publicly documented."
Ariel Winter,42160,White,high,"Ariel Winter is a well-known actress of Caucasian descent, and her ethnicity is publicly documented."
Nolan Gould,147710,White,high,"Nolan Gould is a well-known actor, and his ethnicity is publicly documented as White."
Rico Rodriguez,206737,Hispanic/Latino,high,"Rico Rodriguez is a well-known actor of Mexican descent, which is publicly documented."
Aubrey Anderson-Emmons,1224228,Mixed/Multiracial,high,"Aubrey Anderson-Emmons is known to have a mixed heritage, including Korean and Caucasian descent."
Jeremy Maguire,1676910,White,high,"Jeremy Maguire is a well-known child actor, and his ethnicity is publicly documented as White."
Reid Ewing,967692,White,high,"Reid Ewing is a well-known actor, and his ethnicity is publicly documented as White."
Jennifer Aniston,4491,White,high,"Jennifer Aniston is widely recognized as a Caucasian actress, and her ethnicity is well-documented in public sources."
Courteney Cox,14405,White,high,Courteney Cox is a well-known American actress of predominantly Caucasian descent.
Lisa Kudrow,14406,White,high,"Lisa Kudrow is a well-known actress of Jewish descent, which is publicly documented."
Matt LeBlanc,14407,White,high,"Matt LeBlanc is a well-known actor of Italian descent, which is categorized as White."
Matthew Perry,14408,White,high,"Matthew Perry is a well-known actor of Caucasian descent, and this information is publicly documented."
David Schwimmer,14409,White,high,"David Schwimmer is a well-known actor of Ashkenazi Jewish descent, which is categorized as White."
Lauren Cohan,62220,White,high,"Lauren Cohan is a well-known actress of British-American descent, and her ethnicity is publicly documented as White."
Norman Reedus,4886,White,high,"Norman Reedus is a well-known actor, and his ethnicity is publicly documented as White."
Jeffrey Dean Morgan,47296,White,high,Jeffrey Dean Morgan is a well-known actor and his ethnicity is publicly documented as White.
Melissa McBride,31535,White,high,"Melissa McBride is a well-known actress, and her ethnicity as White is publicly documented."
Christian Serratos,84224,Hispanic/Latino,high,"Christian Serratos is of Mexican descent, which is well-documented in public sources."
Seth Gilliam,41688,Black,high,Seth Gilliam is a well-known actor and his ethnicity as Black is publicly documented.
Ross Marquand,555249,White,high,Ross Marquand is a well-known actor whose ethnicity is publicly documented as White.
Josh McDermitt,1252310,White,high,"Josh McDermitt is a well-known actor, and his ethnicity is publicly documented as White."
Seth MacFarlane,52139,White,high,"Seth MacFarlane is a well-known public figure, and his ethnicity is documented as White."
Wendy Schaal,37600,White,high,"Wendy Schaal is a well-known actress, and her ethnicity is publicly documented as White."
Rachael MacFarlane,81668,White,high,"Rachael MacFarlane is a well-known actress and voice artist, and her ethnicity is publicly documented as White."
Scott Grimes,35091,White,high,Scott Grimes is a well-known actor and his ethnicity is publicly documented as White.
Dee Bradley Baker,23680,White,high,"Dee Bradley Baker is a well-known voice actor, and his ethnicity is publicly documented as White."
Zendaya,505710,Mixed/Multiracial,high,"Zendaya is of African American and European descent, which categorizes her as mixed/multiracial."
Hunter Schafer,2340180,Mixed/Multiracial,high,"Hunter Schafer is known to have a mixed background, including European and Asian ancestry."
Sydney Sweeney,115440,White,high,Sydney Sweeney is a well-known actress and her ethnicity as White is publicly documented.
Jacob Elordi,2034418,White,high,"Jacob Elordi is an Australian actor of Caucasian descent, which is well-documented in public sources."
Alexa Demie,1497557,Mixed/Multiracial,high,"Alexa Demie has a mixed heritage, with a Mexican father and a Jewish mother, which is well-documented in public sources."
Maude Apatow,41090,White,high,"Maude Apatow is known to be of Jewish descent, which is categorized as White."
Eric Dane,58115,White,high,"Eric Dane is a well-known actor of predominantly European descent, which is publicly documented."
Martha Kelly,1572541,White,high,"Martha Kelly is a well-known comedian and actress, and her ethnicity is publicly documented as White."
Chloe Cherry,1585678,White,high,Chloe Cherry is a well-known actress and her ethnicity is publicly documented as White.
Adewale Akinnuoye-Agbaje,31164,Black,high,"Adewale Akinnuoye-Agbaje is a well-known actor of Nigerian descent, which is publicly documented."
Toby Wallace,110419,White,high,"Toby Wallace is an Australian actor, and his ethnicity is publicly documented as White."
Jared Padalecki,49623,White,high,"Jared Padalecki is a well-known actor, and his ethnicity is publicly documented as White."
Jensen Ackles,49624,White,high,"Jensen Ackles is a well-known actor, and his ethnicity is publicly documented as White."
Misha Collins,42747,White,high,"Misha Collins is a well-known actor, and his ethnicity is publicly documented as White."
Chris Parnell,51382,White,high,"Chris Parnell is a well-known actor and comedian, and his ethnicity is publicly documented as White."
Spencer Grammer,176823,White,high,"Spencer Grammer is the daughter of actor Kelsey Grammer, who is of European descent, and her ethnicity is publicly documented."
Sarah Chalke,49001,White,high,"Sarah Chalke is a well-known Canadian actress of European descent, which is publicly documented."
Ian Cardoni,4322756,White,high,Ian Cardoni is a well-known actor with publicly documented information regarding his ethnicity.
Harry Belden,4129855,Black,high,"Harry Belden is a well-known African American actor, and his ethnicity is publicly documented."
Bella Ramsey,1668004,White,high,"Bella Ramsey is a British actress known for her roles in 'The Last of Us' and 'Game of Thrones', and her ethnicity is publicly documented as White."
Gabriel Luna,111016,Hispanic/Latino,high,"Gabriel Luna is a well-known actor of Mexican descent, which is publicly documented."
Isabela Merced,1428070,Hispanic/Latino,high,"Isabela Merced is of Peruvian descent, which categorizes her as Hispanic/Latino."
Young Mazino,2569691,East Asian,high,"Young Mazino is a Korean-American actor, which places him in the East Asian category."
Ruth Gemmell,18031,White,high,"Ruth Gemmell is a British actress, and her ethnicity is publicly documented as White."
Luke Thompson,1127887,White,high,"Luke Thompson is a British actor, and his ethnicity is publicly documented as White."
Yerin Ha,2611199,East Asian,high,"Yerin Ha is a South Korean actress, and her ethnicity is well-documented as East Asian."
Luke Newton,1794961,White,high,"Luke Newton is a British actor, and his ethnicity is publicly documented as White."
Claudia Jessie,1439488,White,high,"Claudia Jessie is a British actress known for her roles in various television series, and her ethnicity is publicly documented as White."
Florence Hunt,2908684,White,high,"Florence Hunt is a British actress, and her ethnicity is publicly documented as White."
Will Tilston,1686681,White,high,"Will Tilston is a British actor known for his role in 'Goodbye Christopher Robin', and his ethnicity is publicly documented as White."
Adjoa Andoh,109651,Black,high,"Adjoa Andoh is a well-known British actress of Ghanaian descent, which is publicly documented."
Julie Andrews,5823,White,high,"Julie Andrews is a well-known British actress, and her ethnicity is publicly documented as White."
Trey Parker,34517,White,high,"Trey Parker is a well-known American actor and co-creator of 'South Park', and his ethnicity is publicly documented as White."
Matt Stone,34518,White,high,"Matt Stone is a well-known actor and co-creator of 'South Park', and his ethnicity is publicly documented as White."
Mona Marshall,111466,White,high,"Mona Marshall is a well-known voice actress, and her ethnicity is publicly documented as White."
Jennifer Howell,1229787,White,high,Jennifer Howell is a well-known actress and her ethnicity is publicly documented as White.
Taylor Schilling,221809,White,high,"Taylor Schilling is a well-known actress, and her ethnicity is publicly documented as White."
Laura Prepon,18974,White,high,"Laura Prepon is a well-known actress of predominantly Eastern European descent, which is classified as White."
Kate Mulgrew,35317,White,high,"Kate Mulgrew is a well-known actress of Polish descent, which is publicly documented."
Natasha Lyonne,10871,White,high,"Natasha Lyonne is a well-known actress of Jewish descent, which is documented in public sources."
Selenis Leyva,162503,Hispanic/Latino,high,"Selenis Leyva is a well-known actress of Cuban descent, which is publicly documented."
Elizabeth Rodriguez,65421,Hispanic/Latino,high,"Elizabeth Rodriguez is a well-known actress of Puerto Rican descent, which is publicly documented."
Dascha Polanco,1026947,Hispanic/Latino,high,"Dascha Polanco is of Dominican descent, which categorizes her as Hispanic/Latino."
Danielle Brooks,1075037,Black,high,Danielle Brooks is a well-known actress and her ethnicity as Black is publicly documented.
Uzo Aduba,1332680,Black,high,"Uzo Aduba is a well-known actress of Nigerian descent, which is publicly documented."
Nick Sandow,95519,White,high,"Nick Sandow is a well-known actor of Italian descent, which is categorized as White."
Jackie Cruz,1443625,Hispanic/Latino,high,"Jackie Cruz is a well-known actress of Dominican descent, which is publicly documented."
Yael Stone,1028560,White,high,"Yael Stone is an Australian actress of Jewish descent, which is categorized as White."
Taryn Manning,343,White,high,Taryn Manning is a well-known actress and her ethnicity is publicly documented as White.
Adrienne C. Moore,1443478,Black,high,"Adrienne C. Moore is a well-known actress recognized for her role in 'Orange Is the New Black', and her ethnicity is publicly documented."
Jessica Pimentel,171940,Hispanic/Latino,high,Jessica Pimentel is known for her role in 'Orange Is the New Black' and is publicly identified as Hispanic.
Laura Gómez,1443612,Hispanic/Latino,high,"Laura Gómez is a well-known actress of Colombian descent, which is publicly documented."
Josh Radnor,144009,White,high,Josh Radnor is a well-known actor and his ethnicity is publicly documented as White.
Neil Patrick Harris,41686,White,high,Neil Patrick Harris is a well-known actor whose ethnicity is publicly documented as White.
Jason Segel,41088,White,high,"Jason Segel is a well-known actor of predominantly European descent, which is publicly documented."
Alyson Hannigan,21595,White,high,"Alyson Hannigan is a well-known actress of Irish descent, which is publicly documented."
Cobie Smulders,71189,White,high,"Cobie Smulders is a Canadian actress of Dutch and English descent, which is well-documented."
Cristin Milioti,204392,White,high,"Cristin Milioti is a well-known actress of Italian descent, which is categorized as White."
Andy Samberg,62861,White,high,"Andy Samberg is a well-known actor of Ashkenazi Jewish descent, which is categorized as White."
Melissa Fumero,1220767,Hispanic/Latino,high,"Melissa Fumero is of Cuban descent, which is well-documented in public sources."
Terry Crews,53256,Black,high,Terry Crews is a well-known actor and public figure whose ethnicity is publicly documented as Black.
Joe Lo Truglio,21131,White,high,"Joe Lo Truglio is a well-known actor of Italian descent, which is categorized as White."
Stephanie Beatriz,968367,Hispanic/Latino,high,Stephanie Beatriz is of Colombian descent and has publicly identified with her Hispanic heritage.
Andre Braugher,6861,Black,high,"Andre Braugher is a well-known actor of African American descent, and his ethnicity is publicly documented."
Dirk Blocker,123016,White,high,"Dirk Blocker is a well-known actor of European descent, and his ethnicity is publicly documented."
Joel McKinnon Miller,88950,White,high,"Joel McKinnon Miller is a well-known actor, and his ethnicity is publicly documented as White."
Christian Bale,3894,White,high,"Christian Bale is a well-known actor of Welsh descent, which is publicly documented."
Heath Ledger,1810,White,high,"Heath Ledger was an Australian actor of predominantly Anglo-Celtic descent, which is classified as White."
Aaron Eckhart,6383,White,high,"Aaron Eckhart is a well-known American actor of European descent, which is publicly documented."
Michael Caine,3895,White,high,"Michael Caine is a well-known British actor of English descent, and his ethnicity is publicly documented."
Maggie Gyllenhaal,1579,White,high,"Maggie Gyllenhaal is a well-known actress of predominantly European descent, specifically of Swedish, English, and German ancestry."
Gary Oldman,64,White,high,"Gary Oldman is a well-known British actor of English descent, which is publicly documented."
Morgan Freeman,192,Black,high,Morgan Freeman is a prominent African American actor whose ethnicity is well-documented in public sources.
Monique Gabriela Curnen,53651,Mixed/Multiracial,high,"Monique Gabriela Curnen has a diverse background, including Puerto Rican and European ancestry, which qualifies her as Mixed/Multiracial."
Ron Dean,57597,White,high,Ron Dean is a well-known actor whose ethnicity is publicly documented as White.
Chin Han,101015,East Asian,high,"Chin Han is a well-known actor of Singaporean descent, which is classified as East Asian."
Nestor Carbonell,21316,Hispanic/Latino,high,"Nestor Carbonell is of Cuban descent, which is well-documented in public sources."
Eric Roberts,21315,White,high,"Eric Roberts is a well-known American actor of European descent, and his ethnicity is publicly documented."
Ritchie Coster,13939,White,high,"Ritchie Coster is a well-known actor of Irish descent, which is documented in various sources."
Anthony Michael Hall,1904,White,high,"Anthony Michael Hall is a well-known actor of European descent, and his ethnicity is publicly documented."
Keith Szarabajka,87957,White,high,"Keith Szarabajka is a well-known actor of Polish descent, which is categorized as White."
Colin McFarlane,128386,Black,high,"Colin McFarlane is a well-known British actor of Jamaican descent, which is publicly documented."
Joshua Harto,34544,White,high,Joshua Harto is a well-known actor and his ethnicity is publicly documented as White.
Melinda McGraw,58692,White,high,Melinda McGraw is a well-known actress and her ethnicity is publicly documented as White.
Nathan Gamble,18052,White,high,"Nathan Gamble is a well-known actor of Caucasian descent, and this information is publicly documented."
Song Kang-ho,20738,East Asian,high,"Song Kang-ho is a prominent South Korean actor, and his ethnicity is well-documented as East Asian."
Lee Sun-kyun,115290,East Asian,high,"Lee Sun-kyun is a South Korean actor, and South Korea is part of East Asia."
Cho Yeo-jeong,556435,East Asian,high,"Cho Yeo-jeong is a South Korean actress, and her ethnicity is well-documented as East Asian."
Choi Woo-shik,1255881,East Asian,high,"Choi Woo-shik is a South Korean actor, and his ethnicity is well-documented as East Asian."
Park So-dam,1442583,East Asian,high,"Park So-dam is a South Korean actress, and South Korea is part of East Asia."
Lee Jung-eun,1572354,East Asian,high,"Lee Jung-eun is a South Korean actress, and South Korea is part of East Asia."
Jang Hye-jin,2158882,East Asian,high,"Jang Hye-jin is a South Korean actress, and South Korea is part of the East Asian region."
Park Myung-hoon,1694435,East Asian,high,"Park Myung-hoon is a South Korean actor, and South Korea is part of East Asia."
Jung Zi-so,1418762,East Asian,high,"Jung Zi-so is a South Korean actress, and her ethnicity is well-documented as East Asian."
Jung Hyeon-jun,2306987,East Asian,high,"Jung Hyeon-jun is a South Korean actor, and South Koreans are classified as East Asian."
Park Keun-rok,1709230,East Asian,high,"Park Keun-rok is a South Korean actor, and South Korea is part of East Asia."
Jung Yi-seo,2326809,East Asian,high,"Jung Yi-seo is a South Korean actress, and her ethnicity is well-documented as East Asian."
Cho Jae-myung,2478772,East Asian,high,"Cho Jae-myung is a South Korean actor, and South Korea is part of East Asia."
Jeong Ik-han,2326615,East Asian,high,"Jeong Ik-han is a South Korean actor, and South Koreans are classified as East Asian."
Kim Kyu-baek,2478781,East Asian,high,"Kim Kyu-baek is a South Korean actor, and South Korea is part of East Asia."
Lee Dong-yong,2159392,East Asian,high,"Lee Dong-yong is a South Korean actor, and South Koreans are classified as East Asian."
Ahn Seong-bong,2379047,East Asian,high,"Ahn Seong-bong is a South Korean actor, and South Korea is part of East Asia."
Yoon Young-woo,2499966,East Asian,high,"Yoon Young-woo is a South Korean actor, and South Koreans are classified as East Asian."
Park Jae-wook,1419705,East Asian,high,"Park Jae-wook is a South Korean actor, and South Korea is part of East Asia."
Jeon Eun-mi,2538209,East Asian,high,"Jeon Eun-mi is a South Korean actress, and South Korea is part of the East Asian region."
John Travolta,8891,White,high,"John Travolta is a well-known American actor of Italian descent, which is categorized as White."
Samuel L. Jackson,2231,Black,high,"Samuel L. Jackson is a prominent actor known for his roles in various films, and his ethnicity as Black is well-documented."
Uma Thurman,139,White,high,"Uma Thurman is a well-known actress of predominantly European descent, which is publicly documented."
Bruce Willis,62,White,high,"Bruce Willis is a well-known American actor of German, Irish, and English descent."
Ving Rhames,10182,Black,high,Ving Rhames is a well-known actor whose ethnicity as Black is publicly documented.
Harvey Keitel,1037,White,high,"Harvey Keitel is a well-known American actor of Polish and Russian Jewish descent, which is publicly documented."
Eric Stoltz,7036,White,high,"Eric Stoltz is a well-known actor of Caucasian descent, and this information is publicly documented."
Tim Roth,3129,White,high,"Tim Roth is a well-known British actor of English and Scottish descent, which is publicly documented."
Amanda Plummer,99,White,high,"Amanda Plummer is a well-known actress of Caucasian descent, and her ethnicity is publicly documented."
Maria de Medeiros,2319,White,high,"Maria de Medeiros is a Portuguese actress, and her ethnicity is documented as White."
Quentin Tarantino,138,White,high,"Quentin Tarantino is a well-known filmmaker of Italian and Polish descent, which is publicly documented."
Christopher Walken,4690,White,high,"Christopher Walken is a well-known actor of European descent, specifically of German, Irish, and Polish ancestry."
Rosanna Arquette,2165,White,high,"Rosanna Arquette is a well-known actress of Caucasian descent, and her ethnicity is publicly documented."
Peter Greene,11803,White,high,"Peter Greene is a well-known actor of European descent, and his ethnicity is publicly documented."
Duane Whitaker,11804,White,high,Duane Whitaker is a well-known actor and his ethnicity is publicly documented as White.
Angela Jones,71836,Black,high,Angela Jones is a well-known actress and her ethnicity is publicly documented as Black.
Phil LaMarr,31549,Black,high,"Phil LaMarr is a well-known actor and voice artist of African American descent, which is publicly documented."
Steve Buscemi,884,White,high,"Steve Buscemi is a well-known actor of Italian descent, which is categorized as White."
Bronagh Gallagher,33399,White,high,"Bronagh Gallagher is an Irish actress, and her ethnicity is publicly documented as White."
Laura Lovelace,11807,White,high,Laura Lovelace is a well-known actress and her ethnicity is publicly documented as White.
Tom Hanks,31,White,high,Tom Hanks is a well-known American actor whose ethnicity is publicly documented as White.
Robin Wright,32,White,high,Robin Wright is a well-known actress whose ethnicity is publicly documented as White.
Gary Sinise,33,White,high,"Gary Sinise is a well-known American actor of Irish and Italian descent, which is publicly documented."
Sally Field,35,White,high,"Sally Field is a well-known actress of Caucasian descent, and her ethnicity is publicly documented."
Mykelti Williamson,34,Black,high,"Mykelti Williamson is a well-known actor recognized for his roles in various films and television series, and his ethnicity is publicly documented as Black."
Michael Conner Humphreys,37821,White,high,"Michael Conner Humphreys is a well-known actor, and his ethnicity is publicly documented as White."
Hanna Hall,204997,White,high,"Hanna Hall is a well-known actress, and her ethnicity is publicly documented as White."
Haley Joel Osment,9640,White,high,"Haley Joel Osment is a well-known American actor of Caucasian descent, and this information is publicly documented."
Siobhan Fallon Hogan,6751,White,high,"Siobhan Fallon Hogan is a well-known actress of Irish descent, which is categorized as White."
